Baseline:350
Kinetic read 1 (0:00.00)
	1	2	3
B	0.079	0.079	0.078	Baseline:350 Read#1

Baseline:350

Kinetic read	B1	B2	B3
4:32.73	0.080	0.081	0.079
4:33.35	0.080	0.081	0.079
4:33.97	0.080	0.081	0.079
4:34.59	0.080	0.081	0.079
4:35.21	0.080	0.081	0.079
4:35.83	0.080	0.081	0.079
4:36.45	0.080	0.081	0.079
4:37.07	0.080	0.081	0.079
4:37.69	0.080	0.081	0.079
4:38.31	0.080	0.081	0.079
4:38.93	0.080	0.081	0.079
4:39.55	0.080	0.081	0.079
4:40.17	0.080	0.081	0.079
4:40.79	0.080	0.081	0.079
4:41.41	0.080	0.081	0.079
4:42.03	0.080	0.081	0.079
4:42.65	0.080	0.081	0.079
4:43.27	0.080	0.081	0.079
4:43.89	0.080	0.081	0.079
4:44.51	0.080	0.081	0.079
4:45.13	0.080	0.081	0.079
4:45.75	0.080	0.081	0.079
4:46.37	0.080	0.081	0.079
4:46.99	0.080	0.081	0.079
4:47.61	0.080	0.081	0.080
4:48.23	0.080	0.081	0.079
4:48.85	0.080	0.081	0.079
4:49.47	0.080	0.081	0.079
4:50.09	0.080	0.081	0.080
4:50.71	0.080	0.081	0.080
4:51.33	0.080	0.081	0.080
4:51.95	0.080	0.081	0.080
4:52.57	0.080	0.081	0.080
4:53.19	0.080	0.081	0.080
4:53.81	0.080	0.081	0.080
4:54.43	0.080	0.081	0.080
4:55.05	0.080	0.081	0.080
4:55.67	0.080	0.081	0.080
4:56.29	0.080	0.081	0.080
4:56.91	0.080	0.081	0.080
4:57.53	0.080	0.081	0.080
4:58.15	0.081	0.081	0.080
4:58.77	0.080	0.081	0.080
4:59.39	0.081	0.081	0.080
5:00.01	0.081	0.081	0.080
5:00.63	0.080	0.081	0.080
5:01.25	0.081	0.081	0.080
5:01.87	0.081	0.081	0.080
5:02.49	0.080	0.081	0.080
5:03.11	0.080	0.081	0.080
5:03.73	0.081	0.081	0.080
5:04.35	0.081	0.082	0.080
5:04.97	0.080	0.081	0.080
5:05.59	0.081	0.082	0.080
5:06.21	0.081	0.082	0.080
5:06.83	0.081	0.082	0.080
5:07.45	0.081	0.082	0.080
5:08.07	0.081	0.082	0.080
5:08.69	0.081	0.082	0.080
5:09.31	0.081	0.082	0.080
5:09.93	0.081	0.082	0.080
5:10.55	0.081	0.082	0.080
5:11.17	0.081	0.082	0.080
5:11.79	0.081	0.082	0.080
5:12.41	0.081	0.082	0.080
5:13.03	0.081	0.082	0.080
5:13.65	0.081	0.082	0.080
5:14.27	0.081	0.082	0.080
5:14.89	0.081	0.082	0.080
5:15.51	0.081	0.082	0.080
5:16.13	0.081	0.082	0.080
5:16.75	0.081	0.082	0.081
5:17.37	0.081	0.082	0.081
5:17.99	0.081	0.082	0.081
5:18.61	0.081	0.082	0.081
5:19.23	0.081	0.082	0.080
5:19.85	0.081	0.082	0.081
5:20.47	0.081	0.082	0.081
5:21.09	0.081	0.082	0.081
5:21.71	0.081	0.082	0.081
5:22.33	0.081	0.082	0.081
5:22.95	0.081	0.082	0.081
5:23.57	0.081	0.082	0.081
5:24.19	0.081	0.082	0.081
5:24.81	0.081	0.082	0.081
5:25.43	0.081	0.082	0.081
5:26.05	0.081	0.082	0.081
5:26.67	0.081	0.082	0.081
5:27.29	0.081	0.082	0.081
5:27.91	0.081	0.082	0.081
5:28.53	0.081	0.082	0.081
5:29.15	0.081	0.082	0.081
5:29.77	0.081	0.082	0.081
5:30.39	0.081	0.082	0.081
5:31.01	0.081	0.082	0.081
5:31.63	0.081	0.082	0.081
5:32.25	0.081	0.082	0.081
5:32.87	0.081	0.082	0.081
5:33.49	0.081	0.082	0.081
5:34.11	0.081	0.082	0.081
5:34.73	0.081	0.082	0.081
5:35.35	0.081	0.082	0.081
5:35.97	0.081	0.082	0.081
5:36.59	0.081	0.082	0.081
5:37.21	0.081	0.083	0.081
5:37.83	0.081	0.083	0.081
5:38.45	0.081	0.083	0.081
5:39.07	0.081	0.083	0.081
5:39.69	0.081	0.083	0.081
5:40.31	0.081	0.083	0.081
5:40.93	0.081	0.083	0.082
5:41.55	0.081	0.083	0.081
5:42.17	0.081	0.083	0.082
5:42.79	0.081	0.083	0.082
5:43.41	0.081	0.083	0.082
5:44.03	0.081	0.083	0.082
5:44.65	0.081	0.083	0.082
5:45.27	0.081	0.083	0.082
5:45.89	0.081	0.083	0.082
5:46.51	0.081	0.083	0.082
5:47.13	0.081	0.083	0.082
5:47.75	0.082	0.083	0.082
5:48.37	0.081	0.083	0.082
5:48.99	0.081	0.083	0.082
5:49.61	0.081	0.083	0.082
5:50.23	0.081	0.083	0.082
5:50.85	0.082	0.083	0.082
5:51.47	0.082	0.083	0.082
5:52.09	0.082	0.083	0.082
5:52.71	0.082	0.083	0.082
5:53.33	0.082	0.083	0.082
5:53.95	0.082	0.083	0.082
5:54.57	0.082	0.083	0.082
5:55.19	0.082	0.083	0.082
5:55.81	0.082	0.083	0.082
5:56.43	0.082	0.083	0.082
5:57.05	0.082	0.083	0.082
